23:44:39.858 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:44:39.874 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:44:39.891 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:44:39.899 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.459 seconds (JVM running for 3.218)
23:44:45.452 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:44:45.452 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:44:45.452 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
23:45:00.335 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:45:00.362 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 328 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:45:00.363 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:45:02.160 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:45:02.168 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:45:02.169 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:45:02.169 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:45:02.299 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:45:02.299 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1886 ms
23:45:02.598 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:45:02.677 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:45:02.691 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:45:02.709 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:45:02.715 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.725 seconds (JVM running for 3.914)
23:45:18.069 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:45:18.084 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 16200 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:45:18.084 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:45:38.450 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:45:38.459 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:45:38.459 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:45:38.459 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:45:38.570 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:45:38.571 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 20440 ms
23:45:38.821 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:45:38.899 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:45:38.913 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:45:38.931 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:45:38.937 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 21.239 seconds (JVM running for 22.244)
23:45:48.866 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:45:48.867 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:45:48.867 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
23:46:02.974 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:46:02.983 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 15568 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:46:02.984 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
